Customer_ID,Age,Income,Education,Marital_Status,Kidhome,Teenhome,Total_Orders,Average_Order_Value,Purchase_Frequency,Total_Spent,Days_Since_Last_Purchase,Customer_Tenure,CLV
5524,57,58138.0,Graduation,Single,0,0,25,64.68,1.1295,1617,58,664,1616.97
2174,60,46344.0,Graduation,Single,1,1,6,4.5,1.5789,27,38,114,27.0
4141,49,71613.0,Graduation,Together,0,0,21,36.95,2.0128,776,26,313,775.96
6182,30,26646.0,Graduation,Together,1,0,8,6.62,1.7143,53,26,140,52.96
5324,33,58293.0,PhD,Married,1,0,19,22.21,3.5185,422,94,162,421.99
7446,47,62513.0,Master,Together,0,1,22,32.55,2.2449,716,16,294,716.1
965,43,55635.0,Graduation,Divorced,0,1,21,28.1,1.0606,590,34,594,590.1
6177,29,33454.0,PhD,Married,1,0,10,16.9,0.7177,169,32,418,169.0
4855,40,30351.0,PhD,Together,1,0,6,7.67,0.4627,46,19,389,46.02
5899,64,5648.0,PhD,Together,1,1,2,24.5,0.5505,49,68,109,49.0
1994,31,,Graduation,Married,1,0,4,4.75,0.5286,19,11,227,19.0
387,38,7500.0,Basic,Married,0,0,6,10.17,0.303,61,59,594,61.01
2125,55,63033.0,Graduation,Divorced,0,0,16,68.88,2.1145,1102,82,227,1102.06
8180,62,59354.0,Master,Divorced,1,1,15,20.67,1.9824,310,53,227,310.05
2569,27,17323.0,Graduation,Married,0,0,5,9.2,0.2389,46,38,628,46.01
2114,68,82800.0,PhD,Single,0,0,26,50.58,1.3379,1315,23,583,1315.07
9736,34,41850.0,Graduation,Married,1,1,9,10.67,0.4882,96,51,553,96.02
4939,68,37760.0,Graduation,Together,0,0,13,24.38,0.5838,317,20,668,316.92
6565,65,76995.0,Master,Married,0,1,26,68.54,1.6993,1782,91,459,1781.99
2278,29,33812.0,2n Cycle,Single,1,0,8,16.62,0.3974,133,86,604,132.98
9360,32,37040.0,Graduation,Married,0,0,12,26.33,0.521,316,41,691,315.97
5376,35,2447.0,Graduation,Married,1,0,43,40.23,2.3889,1730,42,540,1729.9
1993,65,58607.0,PhD,Married,0,1,17,57.18,0.9206,972,63,554,972.08
4047,60,65324.0,PhD,Married,0,1,20,27.2,3.5294,544,0,170,544.0
1409,63,40689.0,Graduation,Together,0,1,20,22.2,1.2793,444,69,469,443.99
7892,45,18589.0,Graduation,Single,0,0,8,9.38,0.4412,75,89,544,75.04
2404,38,53359.0,Graduation,Married,1,1,14,18.36,1.0526,257,4,399,257.03
5255,28,,Graduation,Single,1,0,27,23.59,1.6364,637,19,495,636.94
9422,25,38360.0,Graduation,Married,1,0,9,14.56,0.6835,131,26,395,131.03
1966,49,84618.0,PhD,Married,0,0,26,64.31,3.5455,1672,96,220,1672.08
